symbol,Name,Sector,Industry
FLIR,"FLIR Systems, Inc.",Capital Goods,Industrial Machinery/Components
FLR,Fluor Corporation,Basic Industries,Military/Government/Technical
FLS,Flowserve Corporation,Capital Goods,Fluid Controls
FLY,Fly Leasing Limited,Consumer Services,n/a
EXTR,"Extreme Networks, Inc.",Technology,Computer Communications Equipment
FMX,Fomento Economico Mexicano S.A.B. de C.V.,Consumer Non-Durables,Beverages (Production/Distribution)
ETFC,E*TRADE Financial Corporation,Finance,Savings Institutions
GBX,"Greenbrier Companies, Inc. (The)",Capital Goods,Railroads
FOSL,"Fossil Group, Inc.",Consumer Non-Durables,Consumer Specialties
FLEX,Flextronics International Ltd.,Technology,Electrical Products
FSM,Fortuna Silver Mines Inc.,Basic Industries,Precious Metals
FSTR,L.B. Foster Company,Basic Industries,Metal Fabrications
FTI,"FMC Technologies, Inc.",Energy,Metal Fabrications
FTNT,"Fortinet, Inc.",Technology,Computer peripheral equipment
FTR,Frontier Communications Corporation,Public Utilities,Telecommunications Equipment
FUN,"Cedar Fair, L.P.",Consumer Services,Services-Misc. Amusement & Recreation
FWDI,#N/A,ETF,ETF
FXI,#N/A,ETF,ETF
FOR,Forestar Group Inc,Finance,Real Estate
DY,"Dycom Industries, Inc.",Basic Industries,Water Supply
DUK,Duke Energy Corporation,Public Utilities,Power Generation
DV,DeVry Education Group Inc.,Consumer Services,Other Consumer Services
DVA,DaVita healthCare Partners Inc.,Health Care,Hospital/Nursing Management
DVN,Devon Energy Corporation,Energy,Oil & Gas Production
DVY,#N/A,ETF,ETF
DW,Drew Industries Incorporated,Capital Goods,Auto Parts:O.E.M.
ECPG,Encore Capital Group Inc,Finance,Finance Companies
DXR,Daxor Corporation,Health Care,Medical/Dental Instruments
DTE,DTE Energy Company,Public Utilities,Electric Utilities: Central
DZK,#N/A,ETF,ETF
DZZ,#N/A,ETF,ETF
EA,Electronic Arts Inc.,Technology,Computer Software
EBAY,eBay Inc.,Consumer Services,Business Services
EBF,"Ennis, Inc.",Consumer Services,Office Equipment/Supplies/Services
EBIX,"Ebix, Inc.",Technology,EDP Services
ETN,"Eaton Corporation, PLC",Technology,Industrial Machinery/Components
DWTI,#N/A,ETF,ETF
DPS,"Dr Pepper Snapple Group, Inc",Consumer Non-Durables,Beverages (Production/Distribution)
DLX,Deluxe Corporation,Consumer Durables,Publishing
DNB,Dun & Bradstreet Corporation (The),Finance,Finance: Consumer Services
DNKN,"Dunkin&#39; Brands Group, Inc.",Consumer Services,Restaurants
DNR,Denbury Resources Inc.,Energy,Oil & Gas Production
DO,"Diamond Offshore Drilling, Inc.",Energy,Oil & Gas Production
DOG,#N/A,ETF,ETF
DOV,Dover Corporation,Technology,Industrial Machinery/Components
DUG,#N/A,ETF,ETF
DPK,#N/A,ETF,ETF
DTO,#N/A,ETF,Oil
DRI,"Darden Restaurants, Inc.",Consumer Services,Restaurants
DRN,#N/A,ETF,ETF
DRV,#N/A,ETF,ETF
DRW,#N/A,ETF,ETF
DRYS,DryShips Inc.,Transportation,Marine Transportation
DST,"DST Systems, Inc.",Technology,EDP Services
ED,Consolidated Edison Inc,Public Utilities,Power Generation
DOW,Dow Chemical Company (The),Basic Industries,Major Chemicals
ESRX,Express Scripts Holding Company,Health Care,Medical/Nursing Services
EPR,EPR Properties,Consumer Services,Real Estate Investment Trusts
EQIX,"Equinix, Inc.",Public Utilities,Telecommunications Equipment
EQR,Equity Residential,Consumer Services,Real Estate Investment Trusts
EQT,EQT Corporation,Energy,Oil & Gas Production
ERX,#N/A,ETF,ETF
ERY,#N/A,ETF,ETF
ECL,Ecolab Inc.,Basic Industries,Package Goods/Cosmetics
ESL,Esterline Technologies Corporation,Capital Goods,Industrial Machinery/Components
ENS,Enersys,Consumer Non-Durables,Telecommunications Equipment
GOL,Gol Linhas Aereas Inteligentes S.A.,Transportation,Air Freight/Delivery Services
ETM,Entercom Communications Corporation,Consumer Services,Broadcasting
GLF,"GulfMark Offshore, Inc.",Energy,Metal Fabrications
ETR,Entergy Corporation,Public Utilities,Electric Utilities: Central
EXC,Exelon Corporation,Public Utilities,Power Generation
EXK,Endeavour Silver Corporation,Basic Industries,Precious Metals
EXPD,"Expeditors International of Washington, Inc.",Transportation,Oil Refining/Marketing
ESGR,Enstar Group Limited,Finance,Property-Casualty Insurers
EIX,Edison International,Public Utilities,Electric Utilities: Central
EDC,#N/A,ETF,ETF
EDZ,#N/A,ETF,ETF
EEFT,"Euronet Worldwide, Inc.",Finance,Investment Bankers/Brokers/Service
EEM,#N/A,ETF,ETF
EET,#N/A,ETF,ETF
EEV,#N/A,ETF,ETF
EFO,#N/A,ETF,ETF
EOG,"EOG Resources, Inc.",Energy,Oil & Gas Production
EGAS,Gas Natural Inc.,Public Utilities,Oil/Gas Transmission
ENTG,"Entegris, Inc.",Consumer Non-Durables,Plastic Products
EJ,E-House (China) Holdings Limited,Finance,Real Estate
EL,"Estee Lauder Companies, Inc. (The)",Consumer Non-Durables,Package Goods/Cosmetics
EMC,EMC Corporation,Technology,Electronic Components
EMN,Eastman Chemical Company,Basic Industries,Major Chemicals
EMR,Emerson Electric Company,Energy,Consumer Electronics/Appliances
ENR,"Energizer Holdings, Inc.",Miscellaneous,Industrial Machinery/Components
EXPE,"Expedia, Inc.",Consumer Services,Transportation Services
EFX,"Equifax, Inc.",Finance,Finance: Consumer Services
INTU,Intuit Inc.,Technology,Computer Software
IRM,Iron Mountain Incorporated,Consumer Services,Real Estate Investment Trusts
IMKTA,"Ingles Markets, Incorporated",Consumer Services,Food Chains
IMMR,Immersion Corporation,Technology,Computer peripheral equipment
INCY,Incyte Corporation,Health Care,Biotechnology: Commercial Physical & Biological Resarch
INDL,#N/A,ETF,India
INFY,Infosys Limited,Technology,EDP Services
IM,Ingram Micro Inc.,Technology,Retail: Computer Software & Peripheral Equipment
INTL,INTL FCStone Inc.,Finance,Investment Bankers/Brokers/Service
ILF,#N/A,ETF,ETF
INWK,"InnerWorkings, Inc.",Consumer Durables,Containers/Packaging
IO,Ion Geophysical Corporation,Energy,Oil & Gas Production
IOIL,#N/A,ETF,ETF
IP,International Paper Company,Basic Industries,Paper
IPG,"Interpublic Group of Companies, Inc. (The)",Technology,Advertising
IPHS,"Innophos Holdings, Inc.",Consumer Durables,Specialty Chemicals
GNTX,Gentex Corporation,Capital Goods,Auto Parts:O.E.M.
INTC,Intel Corporation,Technology,Semiconductors
IDV,#N/A,ETF,ETF
IBN,ICICI Bank Limited,Finance,Commercial Banks
ICA,Empresas Ica Soc Contrladora,Basic Industries,Military/Government/Technical
ICE,Intercontinental Exchange Inc.,Finance,Investment Bankers/Brokers/Service
ICON,"Iconix Brand Group, Inc.",Consumer Non-Durables,Shoe Manufacturing
ICPT,Intercept Pharmaceuticals,Healthcare,Biotechnology
IDCC,"InterDigital, Inc.",Miscellaneous,Multi-Sector Companies
IMH,"Impac Mortgage Holdings, Inc.",Consumer Services,Real Estate Investment Trusts
IDTI,"Integrated Device Technology, Inc.",Technology,Semiconductors
IRS,IRSA Inversiones Y Representaciones S.A.,Consumer Services,Homebuilding
IEF,#N/A,ETF,ETF
IFF,"Internationa Flavors & Fragrances, Inc.",Basic Industries,Major Chemicals
IFN,"India Fund, Inc. (The)",ETF,n/a
IGT,International Game Technology,Consumer Services,Services-Misc. Amusement & Recreation
IIF,"Morgan Stanley India Investment Fund, Inc.",ETF,n/a
IILG,"Interval Leisure Group, Inc.",Finance,Real Estate
IIVI,II-VI Incorporated,Capital Goods,Electronic Components
IDSA,"Industrial Services of America, Inc.",Basic Industries,Miscellaneous
JNJ,Johnson & Johnson,Health Care,Major Pharmaceuticals
IPXL,"Impax Laboratories, Inc.",Health Care,Major Pharmaceuticals
JBLU,Jet Blue,Transportation,Airlines
JCI,"Johnson Controls, Inc.",Consumer Durables,Industrial Specialties
JCP,"J.C. Penney Company, Inc. Holding Company",Consumer Services,Department/Specialty Retail Stores
JD,JD.com,Technology,Computer Software
JEC,Jacobs Engineering Group Inc.,Basic Industries,Military/Government/Technical
JAH,Jarden Corporation,Consumer Durables,Consumer Specialties
JJG,#N/A,ETF,ETF
IYW,#N/A,ETF,ETF
JNK,#N/A,ETF,ETF
JNPR,"Juniper Networks, Inc.",Technology,Computer Communications Equipment
JNS,"Janus Capital Group, Inc",Finance,Investment Managers
JOY,Joy Global Inc.,Energy,Industrial Machinery/Components
JRJC,China Finance Online Co. Limited,Miscellaneous,Business Services
JST,Jinpan International Limited,Consumer Durables,Electrical Products
JVA,"Coffee Holding Co., Inc.",Consumer Non-Durables,Food Distributors
JHX,James Hardie Industries plc.,Capital Goods,Building Materials
IWF,#N/A,ETF,ETF
ISBC,"Investors Bancorp, Inc.",Finance,Savings Institutions
ISRG,"Intuitive Surgical, Inc.",Health Care,Industrial Specialties
ITC,ITC Holdings Corp.,Public Utilities,Electric Utilities: Central
ITT,ITT Corporation,Capital Goods,Fluid Controls
ITUB,Itau Unibanco Banco Holding SA,Finance,Major Banks
ITW,Illinois Tool Works Inc.,Technology,Industrial Machinery/Components
JBL,"Jabil Circuit, Inc.",Technology,Electrical Products
IVZ,Invesco Plc,Finance,Investment Managers
IAU,#N/A,ETF,ETF
IWM,#N/A,ETF,ETF
IX,Orix Corp Ads,Finance,Diversified Financial Services
IXG,#N/A,ETF,ETF
IYC,#N/A,ETF,ETF
IYF,#N/A,ETF,ETF
IYG,#N/A,ETF,ETF
IYT,#N/A,ETF,ETF
IVR,INVESCO MORTGAGE CAPITAL INC,Consumer Services,Real Estate Investment Trusts
GTLS,"Chart Industries, Inc.",Capital Goods,Metal Fabrications
IBM,International Business Machines Corporation,Technology,Computer Manufacturing
GRA,W.R. Grace & Co.,Basic Industries,Major Chemicals
GRN,#N/A,ETF,Carbon
GROW,"U.S. Global Investors, Inc.",Finance,Investment Managers
GS,"Goldman Sachs Group, Inc. (The)",Finance,Investment Bankers/Brokers/Service
GSBC,"Great Southern Bancorp, Inc.",Finance,Major Banks
GPRE,"Green Plains, Inc.",Basic Industries,Major Chemicals
GTE,Gran Tierra Energy Inc.,Energy,Oil & Gas Production
GPOR,Gulfport Energy Corporation,Energy,Oil & Gas Production
GURE,"Gulf Resources, Inc.",Basic Industries,Major Chemicals
GWR,"Genesee & Wyoming, Inc.",Transportation,Railroads
GWW,"W.W. Grainger, Inc.",Consumer Services,Office Equipment/Supplies/Services
HAL,Halliburton Company,Energy,Oilfield Services/Equipment
HAR,"Harman International Industries, Incorporated",Consumer Non-Durables,Consumer Electronics/Appliances
HAS,"Hasbro, Inc.",Consumer Non-Durables,Recreational Products/Toys
HBAN,Huntington Bancshares Incorporated,Finance,Major Banks
GT,The Goodyear Tire & Rubber Company,Consumer Durables,Automotive Aftermarket
GNW,Genworth Financial Inc,Finance,Life Insurance
GLNG,Golar LNG Limited,Consumer Services,Marine Transportation
GLPW,Global Power Equipment Group Inc,Capital Goods,Metal Fabrications
GLT,Glatfelter,Basic Industries,Paper
GLW,Corning Incorporated,Basic Industries,Telecommunications Equipment
GM,General Motors Company,Capital Goods,Auto Manufacturing
GME,Gamestop Corporation,Consumer Services,Electronics Distribution
GPS,"Gap, Inc. (The)",Consumer Services,Clothing/Shoe/Accessory Stores
DLN,#N/A,ETF,ETF
HCN,"Health Care REIT, Inc.",Consumer Services,Real Estate Investment Trusts
DHI,"D.R. Horton, Inc.",Capital Goods,Homebuilding
GOLD,Rangold resources - Gold Company,Basic Industries,Precious Metals
GOOG,Google Inc.,Technology,Computer Software
GOOGL,Google Inc.,Technology,Computer Software
GPC,Genuine Parts Company,Capital Goods,Automotive Aftermarket
GPI,"Group 1 Automotive, Inc.",Consumer Durables,Automotive Aftermarket
GPK,Graphic Packaging Holding Company,Consumer Durables,Containers/Packaging
GMT,GATX Corporation,Consumer Services,Transportation Services
HUBG,"Hub Group, Inc.",Transportation,Oil Refining/Marketing
HRB,"H&R Block, Inc.",Consumer Services,Other Consumer Services
HRL,Hormel Foods Corporation,Consumer Non-Durables,Meat/Poultry/Fish
HRS,Harris Corporation,Capital Goods,Industrial Machinery/Components
HSNI,"HSN, Inc.",Consumer Services,Other Specialty Stores
HST,"Host Hotels & Resorts, Inc.",Consumer Services,Real Estate Investment Trusts
HSTM,"HealthStream, Inc.",Technology,Computer Software
HBI,Hanesbrands Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
HTZ,"Hertz Global Holdings, Inc",Consumer Services,Rental/Leasing Companies
HP,"Helmerich & Payne, Inc.",Basic Materials,Oil
HUM,Humana Inc.,Health Care,Medical Specialities
HUN,Huntsman Corporation,Basic Industries,Major Chemicals
HWCC,Houston Wire & Cable Company,Consumer Non-Durables,Telecommunications Equipment
HYG,#N/A,ETF,ETF
HZO,"MarineMax, Inc.",Consumer Services,Other Specialty Stores
IAG,Iamgold Corporation,Basic Industries,Precious Metals
GLL,#N/A,ETF,ETF
HSY,Hershey Company (The),Consumer Non-Durables,Specialty Foods
HLF,Herbalife LTD.,Health Care,Other Pharmaceuticals
IBA,"Industrias Bachoco, S.A. de C.V.",Consumer Non-Durables,Meat/Poultry/Fish
HCP,"HCP, Inc.",Consumer Services,Real Estate Investment Trusts
HD,"Home Depot, Inc. (The)",Consumer Services,RETAIL: Building Materials
HDB,HDFC Bank Limited,Finance,Commercial Banks
HF,"HFF, Inc.",Consumer Services,Real Estate
HGG,"HHGregg, Inc.",Consumer Services,Consumer Electronics/Video Chains
HIBB,"Hibbett Sports, Inc.",Consumer Services,Other Specialty Stores
HPT,Hospitality Properites Trust,Consumer Services,Real Estate Investment Trusts
HL,Hecla Mining Company,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
HPQ,Hewlett-Packard Company,Technology,Computer Manufacturing
HLS,HealthSouth Corporation,Health Care,Hospital/Nursing Management
HLX,"Helix Energy Solutions Group, Inc.",Energy,Oilfield Services/Equipment
HMIN,Homeinns Hotel Group,Consumer Services,Hotels/Resorts
HOG,"Harley-Davidson, Inc.",Consumer Non-Durables,Motor Vehicles
HON,Honeywell International Inc.,Capital Goods,Auto Parts:O.E.M.
HOT,"Starwood Hotels & Resorts Worldwide, Inc.",Consumer Services,Hotels/Resorts
HCI,"HCI Group, Inc.",Finance,Property-Casualty Insurers
HIG,"Hartford Financial Services Group, Inc. (The)",Finance,Property-Casualty Insurers
AYR,Aircastle Limited,Technology,Diversified Commercial Services
BKOR,#N/A,ETF,ETF
AVB,"AvalonBay Communities, Inc.",Consumer Services,Real Estate Investment Trusts
AVP,"Avon Products, Inc.",Consumer Non-Durables,Package Goods/Cosmetics
AVY,Avery Dennison Corporation,Consumer Durables,Containers/Packaging
AWI,Armstrong World Industries Inc,Consumer Non-Durables,Plastic Products
AXE,Anixter International Inc.,Consumer Non-Durables,Telecommunications Equipment
ATU,Actuant Corporation,Technology,Industrial Machinery/Components
AYI,Acuity Brands Inc,Consumer Durables,Building Products
ATSG,"Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services
AZN,Astrazeneca PLC,Health Care,Major Pharmaceuticals
AZO,"AutoZone, Inc.",Consumer Services,Other Specialty Stores
B,"Barnes Group, Inc.",Capital Goods,Metal Fabrications
BA,Boeing Company (The),Capital Goods,Aerospace
BAL,#N/A,ETF,ETF
BAM,Brookfield Asset Management Inc,Consumer Services,Building operators
BAP,Credicorp Ltd.,Finance,Commercial Banks
AXP,American Express Company,Finance,Finance: Consumer Services
ASGN,"On Assignment, Inc.",Technology,Professional Services
APD,"Air Products and Chemicals, Inc.",Basic Industries,Major Chemicals
APH,Amphenol Corporation,Capital Goods,Electrical Products
APOL,"Apollo Education Group, Inc.",Consumer Services,Other Consumer Services
ARCC,Ares Capital Corporation,Finance,Asset Management
ARG,"Airgas, Inc.",Capital Goods,Industrial Machinery/Components
ARLP,"Alliance Resource Partners, L.P.",Energy,Coal Mining
ATVI,"Activision Blizzard, Inc",Technology,Computer Software
ARW,"Arrow Electronics, Inc.",Consumer Non-Durables,Electronic Components
BBL,BHP Billiton plc,Energy,Coal Mining
ASH,Ashland Inc.,Consumer Durables,Specialty Chemicals
ASNA,"Ascena Retail Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
ASX,"Advanced Semiconductor Engineering, Inc.",Technology,Semiconductors
ATHN,athenahealth,Technology,Computer Software
ATI,Allegheny Technologies Incorporated,Basic Industries,Steel/Iron Ore
ATLS,"Atlas Energy, L.P.",Energy,Oil & Gas Production
ATML,Atmel Corporation,Technology,Semiconductors
ARRS,"ARRIS Group, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
BIG,"Big Lots, Inc.",Consumer Services,Department/Specialty Retail Stores
BG,Bunge Limited,Consumer Non-Durables,Packaged Foods
BGC,General Cable Corporation,Basic Industries,Telecommunications Equipment
BH,Biglari Holdings Inc.,Consumer Services,Restaurants
BHI,Baker Hughes Incorporated,Energy,Metal Fabrications
BHP,BHP Billiton Limited,Basic Industries,Precious Metals
BIB,ProShares Ultra Nasdaq Biotechnology,ETF,Biotechnology
BAX,Baxter International Inc.,Health Care,Medical/Dental Instruments
BIDU,"Baidu, Inc.",Technology,Computer Software
BEN,"Franklin Resources, Inc.",Finance,Investment Managers
BIIB,Biogen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BIO,"Bio-Rad Laboratories, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
BIOL,"Biolase, Inc.",Health Care,Medical/Dental Instruments
BIOS,"BioScrip, Inc.",Health Care,Medical/Nursing Services
BIS,ProShares UltraShort Nasdaq Biotechnology,ETF,ETF
BK,Bank Of New York Mellon Corporation (The),Finance,Major Banks
DIA,#N/A,ETF,ETF
BID,Sotheby,Miscellaneous,Business Services
BCS,Barclays PLC,Finance,Commercial Banks
AOS,AO Smith,Consumer Goods,Electrical Products
BBOX,Black Box Corporation,Technology,Computer Communications Equipment
BBRY,BlackBerry Limited,Public Utilities,Telecommunications Equipment
BBT,BB&T Corporation,Finance,Major Banks
BBVA,Banco Bilbao Viscaya Argentaria S.A.,Finance,Commercial Banks
BBY,"Best Buy Co., Inc.",Consumer Services,Consumer Electronics/Video Chains
BCE,Bell Canada,Public Utilities,Telecommunications Equipment
BF-B,Brown-Forman Corporation,Consumer Goods,ETF
BCR,"C.R. Bard, Inc.",Health Care,Medical/Dental Instruments
BEZ.L,Beazley,Finance,ETF
BDC,Belden Inc,Basic Industries,Telecommunications Equipment
BDCS,#N/A,ETF,ETF
BDD,#N/A,ETF,ETF
BDX,"Becton, Dickinson and Company",Health Care,Medical/Dental Instruments
BEAV,"B/E Aerospace, Inc.",Consumer Durables,Industrial Specialties
BECN,"Beacon Roofing Supply, Inc.",Consumer Services,RETAIL: Building Materials
BBD,Banco Bradesco Sa,Finance,Major Banks
BCO,Brinks Company (The),Transportation,Oil Refining/Marketing
AES,The AES Corporation,Basic Industries,Electric Utilities: Central
ADSK,"Autodesk, Inc.",Technology,Computer Software
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment
AEE,Ameren Corporation,Public Utilities,Power Generation
AEGN,Aegion Corp,Basic Industries,Water Supply
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components
AEL,American Equity Investment Life Holding Company,Finance,Life Insurance
AGU,Agrium Inc.,Basic Industries,Agricultural Chemicals
AER,Aercap Holdings N.V.,Technology,Diversified Commercial Services
ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,Packaged Foods
AET,Aetna Inc.,Health Care,Medical Specialities
AFG,"American Financial Group, Inc.",Finance,Property-Casualty Insurers
AFL,Aflac Incorporated,Finance,Accident &Health Insurance
AG,First Majestic Silver Corp.,Basic Industries,Precious Metals
AGG,Aggregate Bond ETF,ETF,ETF
AGN,Allergan plc.,Health Care,Major Pharmaceuticals
APC,Anadarko Petroleum Corporation,Energy,Oil & Gas Production
AEP,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central
ACET,Aceto Corporation,Health Care,Other Pharmaceuticals
AA,Alcoa Inc.,Capital Goods,Metal Fabrications
AAMC,Altisource Asset Management Corp,Finance,Real Estate
AAPL,Apple Inc.,Technology,Computer Manufacturing
AAWW,Atlas Air Worldwide Holdings,Transportation,Transportation Services
ABB,ABB Ltd,Consumer Durables,Electrical Products
ABC,AmerisourceBergen Corporation (Holding Co),Health Care,Other Pharmaceuticals
ABG,Asbury Automotive Group Inc,Consumer Durables,Automotive Aftermarket
ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services
ABX,Barrick Gold Corporation,Basic Industries,Precious Metals
ADP,"Automatic Data Processing, Inc.",Technology,EDP Services
ACIW,"ACI Worldwide, Inc",Technology,Computer Software
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies
ACUR,"Acura Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACXM,Acxiom Corporation,Technology,EDP Services
ADBE,Adobe Systems Incorporated,Technology,Computer Software
ADI,"Analog Devices, Inc.",Technology,Semiconductors
AGYS,"Agilysys, Inc.",Technology,EDP Services
ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals
AMT,American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts
ALR,Alere Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ALTR,Altera Corporation,Technology,Semiconductors
AMAT,"Applied Materials, Inc.",Technology,Semiconductors
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
AMED,Amedisys Inc,Health Care,Medical/Nursing Services
AMG,"Affiliated Managers Group, Inc.",Finance,Investment Managers
AGO,Assured Guaranty Ltd.,Finance,Property-Casualty Insurers
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",Finance,Investment Managers
ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers
AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution
AN,"AutoNation, Inc.",Consumer Durables,Automotive Aftermarket
ANF,Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores
ANTM,"Anthem, Inc.",Health Care,Medical Specialities
ANW,Aegean Marine Petroleum Network Inc.,Energy,Oil Refining/Marketing
AON,Aon plc,Finance,Specialty Insurers
BLL,Ball Corporation,Consumer Durables,Containers/Packaging
AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIXG,Aixtron SE,Technology,Industrial Machinery/Components
AHC,A.H. Belo Corporation,Consumer Services,Newspapers/Magazines
AHS,AMN Healthcare Services Inc,Technology,Professional Services
AI,Arlington Asset Investment Corp,Finance,Finance/Investors Services
AIG,"American International Group, Inc.",Finance,Property-Casualty Insurers
AIMC,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components
AIN,Albany International Corporation,Basic Industries,Textiles
AIR,AAR Corp.,Capital Goods,Aerospace
ALN,American Lorain Corporation,Consumer Non-Durables,Packaged Foods
AIV,Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts
ALLT,Allot Communications Ltd.,Technology,Computer Communications Equipment
AIZ,"Assurant, Inc.",Finance,Accident &Health Insurance
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services
AKS,AK Steel Holding Corporation,Basic Industries,Steel/Iron Ore
ALD,#N/A,ETF,ETF
ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties
ALK,Alaska Air,Consumer Services,Airlines
APA,Apache Corporation,Energy,Oil & Gas Production
AIRM,Air Methods Corporation,Transportation,Transportation Services
CTL,"CenturyLink, Inc.",Public Utilities,Telecommunications Equipment
BKD,Brookdale Senior Living Inc.,Health Care,Hospital/Nursing Management
CSLT,"Castlight Health, inc.",Technology,EDP Services
